,Jahr,Wahlart,Wahlbezirk,Stadtteil zus.,Stadtraum,Stadtbezirk mit zugeordneten Ortschaften,Wahl-Form,Wahlberechtigte,Wahlberechtigte mit WS,W_hler,W_hler mit WS,Stimmen gôltig,Stimmen CDU,Stimmen SPD,Stimmen Die Linke,Stimmen Grône,Stimmen FDP,Stimmen Rechte Parteien,Stimmen AfD,Stimmen Piraten,Stimmen sonstiger Parteien,Stimmen ungôltig
85,2017,Bundestagswahl,14500,14 Leipziger Vorstadt,"04 Leipziger Vorstadt, Pieschen",StB 1 Neustadt,Wahlbezirk_Urne,1506,328,922,5,910,134,89,230,162,64,7,125,13,86,12
86,2017,Bundestagswahl,14600,14 Leipziger Vorstadt,"04 Leipziger Vorstadt, Pieschen",StB 1 Neustadt,Wahlbezirk_Urne,1244,294,736,3,733,162,66,142,48,62,1,199,10,43,3
87,2017,Bundestagswahl,15000,15 Albertstadt,03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Brief,0,0,602,602,598,143,53,102,85,87,5,86,2,35,4
88,2017,Bundestagswahl,15100,15 Albertstadt,03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1496,424,648,3,645,159,70,122,104,53,2,78,10,47,3
89,2017,Bundestagswahl,15300,15 Albertstadt,03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,855,205,496,3,493,105,53,95,67,36,9,89,3,36,3
90,2017,Bundestagswahl,21001,21 Pieschen-Sôd,"04 Leipziger Vorstadt, Pieschen",StB 2 Pieschen,Wahlbezirk_Brief,0,0,903,903,900,182,77,212,156,69,4,91,7,102,3
91,2017,Bundestagswahl,21002,21 Pieschen-Sôd,"04 Leipziger Vorstadt, Pieschen",StB 2 Pieschen,Wahlbezirk_Brief,0,0,930,930,924,178,76,225,145,84,4,104,9,99,6
92,2017,Bundestagswahl,21100,21 Pieschen-Sôd,"04 Leipziger Vorstadt, Pieschen",StB 2 Pieschen,Wahlbezirk_Urne,1248,306,678,1,672,89,55,201,107,49,3,80,9,79,6
93,2017,Bundestagswahl,21200,21 Pieschen-Sôd,"04 Leipziger Vorstadt, Pieschen",StB 2 Pieschen,Wahlbezirk_Urne,1323,274,728,2,722,105,67,185,74,60,6,146,17,62,6
94,2017,Bundestagswahl,21301,21 Pieschen-Sôd,"04 Leipziger Vorstadt, Pieschen",StB 2 Pieschen,Wahlbezirk_Urne,1644,364,904,4,893,171,94,180,108,71,7,154,15,93,11
95,2017,Bundestagswahl,21302,21 Pieschen-Sôd,"04 Leipziger Vorstadt, Pieschen",StB 2 Pieschen,Wahlbezirk_Urne,1550,326,856,5,850,116,91,193,119,55,7,156,18,95,6
96,2017,Bundestagswahl,21400,21 Pieschen-Sôd,"04 Leipziger Vorstadt, Pieschen",StB 2 Pieschen,Wahlbezirk_Urne,1482,352,762,0,750,125,78,177,99,37,4,143,12,75,12
