,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
106,"05 Mickten, Kaditz, Trachau",19,9,4,8,31,17,0
107,"05 Mickten, Kaditz, Trachau",19,9,2,8,35,16,1
108,"05 Mickten, Kaditz, Trachau",33,7,4,10,23,13,0
109,"05 Mickten, Kaditz, Trachau",20,7,5,10,32,15,0
110,"05 Mickten, Kaditz, Trachau",15,8,6,9,31,18,0
111,"05 Mickten, Kaditz, Trachau",30,6,5,9,32,10,0
112,"05 Mickten, Kaditz, Trachau",21,11,2,9,33,13,0
113,"05 Mickten, Kaditz, Trachau",27,11,10,10,14,18,0
114,"05 Mickten, Kaditz, Trachau",30,12,7,7,19,16,0
115,"05 Mickten, Kaditz, Trachau",21,10,6,7,24,19,0
116,"05 Mickten, Kaditz, Trachau",22,11,10,10,17,20,0
117,"05 Mickten, Kaditz, Trachau",24,10,10,7,20,18,0
118,"05 Mickten, Kaditz, Trachau",22,10,9,10,22,18,0
119,"05 Mickten, Kaditz, Trachau",22,10,4,8,28,19,0
120,"05 Mickten, Kaditz, Trachau",24,8,6,6,27,19,0
121,"05 Mickten, Kaditz, Trachau",25,10,6,9,29,13,0
122,"04 Leipziger Vorstadt, Pieschen",26,10,9,9,13,18,1
123,"04 Leipziger Vorstadt, Pieschen",26,11,9,9,15,16,0
124,"04 Leipziger Vorstadt, Pieschen",20,7,8,7,21,24,1
125,"04 Leipziger Vorstadt, Pieschen",18,11,10,8,16,20,1
126,"04 Leipziger Vorstadt, Pieschen",24,10,3,7,30,14,0
127,"04 Leipziger Vorstadt, Pieschen",19,9,7,7,22,18,1
128,"04 Leipziger Vorstadt, Pieschen",20,9,7,8,22,21,0
129,"04 Leipziger Vorstadt, Pieschen",21,10,9,10,21,17,0
130,"04 Leipziger Vorstadt, Pieschen",21,10,7,9,26,19,0
131,06 StB Klotzsche und n_rdliche OS,27,10,5,9,22,19,0
132,06 StB Klotzsche und n_rdliche OS,30,7,10,12,17,13,0
133,06 StB Klotzsche und n_rdliche OS,30,8,5,9,21,16,0
134,06 StB Klotzsche und n_rdliche OS,27,8,8,10,23,14,0
135,06 StB Klotzsche und n_rdliche OS,22,12,5,8,29,16,0
136,06 StB Klotzsche und n_rdliche OS,23,7,3,9,29,20,0
137,06 StB Klotzsche und n_rdliche OS,25,8,7,14,24,12,0
138,06 StB Klotzsche und n_rdliche OS,24,10,9,11,25,13,0
139,06 StB Klotzsche und n_rdliche OS,24,10,9,14,20,13,0
140,06 StB Klotzsche und n_rdliche OS,29,8,9,11,22,12,0
141,06 StB Klotzsche und n_rdliche OS,23,7,4,11,26,21,1
142,06 StB Klotzsche und n_rdliche OS,22,10,4,8,30,19,1
143,06 StB Klotzsche und n_rdliche OS,19,7,4,5,31,22,0
144,06 StB Klotzsche und n_rdliche OS,33,9,4,10,26,10,0
145,06 StB Klotzsche und n_rdliche OS,31,9,10,10,16,15,0
146,06 StB Klotzsche und n_rdliche OS,26,5,5,11,34,11,0
147,06 StB Klotzsche und n_rdliche OS,25,6,4,11,37,10,0
148,06 StB Klotzsche und n_rdliche OS,25,8,3,11,30,16,0
149,06 StB Klotzsche und n_rdliche OS,27,9,8,10,25,13,0
150,06 StB Klotzsche und n_rdliche OS,22,10,12,8,23,16,0
151,06 StB Klotzsche und n_rdliche OS,30,7,5,11,21,15,0
152,06 StB Klotzsche und n_rdliche OS,27,9,6,13,26,11,0
153,06 StB Klotzsche und n_rdliche OS,29,7,6,8,31,12,1
154,06 StB Klotzsche und n_rdliche OS,22,8,6,12,30,11,0
155,06 StB Klotzsche und n_rdliche OS,29,7,4,11,33,9,0
156,06 StB Klotzsche und n_rdliche OS,27,5,2,10,31,15,0
